"cluster","patient"
"1","TCGAMGAAMC01"
"1","TCGACH574801"
"1","TCGACH574101"
"1","TCGAV1A9O901"
"1","TCGAYLA9WL01"
"1","TCGAHC774401"
"1","TCGAKKA6E001"
"1","TCGAYLA8HK01"
"2","TCGAV1A9ZK01"
"2","TCGAVNA88L01"
"3","TCGAJ9A8CK01"
"2","TCGAHCA76W01"
"1","TCGAQUA6IL01"
"1","TCGAJ4A67L01"
"3","TCGAHC781801"
"1","TCGAEJ549701"
"2","TCGAVPA87801"
"3","TCGAHC774701"
"1","TCGACH576101"
"2","TCGAHI716901"
