source,target,sign
CLU,IKBKB,-1
CNKSR1,RAF1,1
CREBBP,MMP9,1
CREBBP,SMAD2,1
CREBBP,SMAD3,1
CRK,CBL,1
CRK,GAB1,1
CRK,MAP4K1,1
CRK,MAP4K5,1
CRK,NEDD9,1
CRK,PTK2,1
CRK,RAPGEF1,1
CRKL,GAB1,1
CRKL,MAP4K1,1
CRKL,NEDD9,1
CRKL,RAPGEF1,1
CSMD1,SMAD3,1
CSNK1G1,DVL1,1
CSNK1G1,LRP5,1
CSNK1G1,LRP6,1
CSNK1G1,YWHAQ,1
CSNK1G2,SMAD3,-1
CSNK1G2,YWHAQ,1
CSNK1G3,YWHAQ,1
CSNK2A2,ARRB2,1
CSNK2A2,SET,-1
CSNK2A2,parent_of_SMAD1-1,1
CTDNEP1,BMPR1A,1
CTDNEP1,BMPR2,-1
CTDSP2,SMAD1,-1
CTDSP2,SMAD2,-1
CTDSP2,SMAD3,1
CTNNB1,NR4A3,1
CTTNBP2NL,parent_of_PPP2CA1_____PPP2CB1,1
CUL3,LZTR1,1
CUL3,MAP1B,-1
CYLD,IKBKG,-1
CYLD,MAP3K7,1
CYLD,TRAF2,-1
CYLD,TRAF6,-1
CYSLTR2,GNAQ,1
DAB2,DAB2IP,1
DAB2,DVL3,-1
DAB2,LRP6,-1
DAB2,SMAD2,1
DAB2,TGFBR1,1
DAB2,TGFBR2,1
DAB2IP,CTNNB1,-1
DAB2IP,ERN1,1
DAB2IP,GSK3B,1
DAB2IP,HRAS,-1
DAB2IP,KRAS,-1
DAB2IP,NRAS,-1
DAB2IP,PIK3CA,-1
DAPK1,MARK2,1
DAPK1,PIN1,-1
DAPK1,PRKD1,1
DAPK1,TLN1,-1
DEF6,CDC42,1
DEF6,RAP1A,1
DEF6,parent_of_BRAF1,1
DKK1,LRP5,-1
DKK1,LRP6,1
DKK1,parent_of_LRP61,1
DKK2,LRP5,-1
DKK4,LRP5,-1
DKK4,LRP6,-1
DLX5,MSX1,-1
DUSP18,ITGB4,1
DUSP18,parent_of_CSK1_____PTK21_____SRC1,1
DVL1,CTNNB1,1
DVL1,GSK3B,-1
DVL1,JUN,1
DVL1,SMAD3,1
DVL2,ARRB2,1
DVL2,LRP6,1
DVL2,PARD6A,1
DVL3,CSNK1G1,1
DVL3,parent_of_GSK3B-1,1
EFNB1,EPHB2,1
EFNB1,EPHB3,1
EFR3A,KRAS,1
EID2,SMAD3,-1
EIF4E,SMAD3,1
EIF4E,SMAD4,1
EIF4EBP2,EIF4E,-1
ELAVL1,BRCA1,-1
ELAVL1,EIF4E,1
EP300,RB1,1
EP300,SMAD1,1
EP300,SMAD2,1
EP300,SMAD3,1
EP300,SMAD4,1
EPB41,NUMA1,1
EPHB2,SRC,1
EPHB2,parent_of_ANK21_____ANK31,1
EPHB2,parent_of_CDC421,1
EPHB2,parent_of_CDC421_____RHOA1,-1
EPHB2,parent_of_HRAS-1,1
EPHB2,parent_of_RAF11,-1
EPHB3,parent_of_HRAS-1,1
EPX,RNASE2,1
ERBIN,RIPK2,-1
ERBIN,SMAD2,1
ERBIN,SMAD3,1
ERG,WNT11,1
ERN1,TRAF2,1
ESR1,NCOA2,1
ESR1,WNT4,1
ESR1,parent_of_SMAD2-1_____SMAD3-1,1
ETS1,GFI1,-1
F12,KLKB1,1
F2,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1_____GNAZ1,1
F2RL1,GNAQ,1
F2RL1,parent_of_DVL11,1
FAM107A,AKT3,1
FAS,RIPK1,1
FASLG,FAS,1
FASLG,TNFRSF10B,1
FBXL12,CAMK1,-1
FFAR2,GNAQ,1
FFAR2,parent_of_DVL11,1
FGF2,FGFR2,1
FGF2,THBS1,-1
FGFR2,FRS2,-1
FGFR2,GRB2,1
FKBP1A,TGFBR1,1
FKBP4,PPP3CA,-1
FOXH1,SMAD2,1
FRS2,CBL,1
FRS2,GRB2,1
FST,GDF11,-1
FST,INHBA,-1
FST,MSTN,-1
FSTL3,MSTN,-1
FZD1,DVL1,1
FZD1,DVL2,1
FZD1,DVL3,1
FZD3,DVL1,1
FZD3,GNAQ,1
FZD3,NLK,1
FZD7,DVL1,1
FZD8,LRP5,1
FZD8,LRP6,1
GAB1,ARHGAP32,1
GAB1,CRKL,1
GAB1,PIK3CA,1
GAB2,ARHGAP32,1
GABARAP,GPHN,1
GADD45B,MAP3K4,1
GALR2,GNAI1,1
GALR2,GNAQ,1
GAN,CUL3,1
GATA3,parent_of_FGFR21,1
GCC1,parent_of_CDC421,1
