source,target,sign
CASP2,CASP8,1
CASP2,DIABLO,1
CASP2,GOLGA3,-1
CASP2,RIPK1,1
CASP2,TRAF2,1
CASP2,parent_of_APAF11_____CASP91,1
CASP4,CASP1,1
CASP6,CASP8,1
CASP6,HIPK2,1
CASP6,NUMA1,-1
CASP8,AR,-1
CASP8,BID,1
CASP8,CASP6,1
CASP8,RIPK1,-1
CASP8,TP73,1
CASP8,parent_of_TRAF21,-1
CASP8AP2,CASP8,1
CASP8AP2,NFKB1,1
CASP9,CASP6,1
CAST,CAPN1,-1
CAST,CAPN2,-1
CAST,CAPN3,-1
CAV1,PDGFRA,1
CBX4,ZEB2,-1
CCK,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1,1
CCL16,parent_of_GNAI11_____GNAI31,1
CD40,TRAF2,1
CD40LG,CD40,1
CDC25A,MAPK3,-1
CDC25A,RAF1,-1
CDC42,GSK3B,-1
CDC42,MAP3K10,1
CDC42,PRKCZ,1
CDC42,USP6,1
CDK5,CLOCK,1
CDK5,DPYSL2,-1
CDK5,HTR6,-1
CDK5,PMAIP1,-1
CDK5,STAT3,1
CDK5,SYN1,1
CDK5,parent_of_CDC421_____RAC11_____RHOA1,1
CDK5,parent_of_MYO1E1,1
CDK5,parent_of_RALBP11,1
CDON,ABL1,1
CDON,parent_of_CDC421,1
CFLAR,CASP8,-1
CFLAR,FADD,-1
CHEK1,CDC25A,-1
CHEK1,NFKB1,-1
CHEK1,TP73,1
CHEK1,parent_of_CDC25A-1,1
CHEK2,BRCA1,1
CHEK2,CDC25A,-1
CHRM1,GNAI1,1
CHRM1,GNAQ,1
CHRM5,GNAI1,1
CHRM5,GNAQ,1
CHUK,NCOR2,-1
CHUK,NFKB1,-1
CHUK,TSC2,-1
CHUK,parent_of_APOA11,-1
CHUK,parent_of_NFKB1-1,-1
CLASP2,IQGAP1,1
CLK1,ABL1,-1
CLK1,PTPN1,1
CLK4,ABL1,-1
CLOCK,MAGEL2,-1
CMA1,EDN1,1
CMA1,EDN3,1
CNKSR1,RAF1,1
COPS3,SOS1,1
COX5B,APAF1,1
CRADD,CASP2,1
CRADD,RIPK1,1
CREB1,MIF,1
CREB1,SMAD3,1
CREB1,SMAD6,1
CREB1,parent_of_ACTB1,1
CRHR1,GNAI1,1
CRHR1,GNAQ,1
CRKL,MAP4K1,1
CRKL,NEDD9,1
CRLF1,parent_of_JAK11,1
CSDE1,FOS,-1
CSNK1A1,BID,1
CSNK1A1,CARD11,-1
CSNK1A1,CARM1,-1
CSNK1A1,CDC25A,-1
CSNK1A1,CREB1,1
CSNK1A1,CTNNB1,-1
CSNK1A1,FADD,-1
CSNK1A1,FOXG1,1
CSNK1A1,FOXO1,-1
CSNK1A1,FOXO3,-1
CSNK1A1,GSK3B,1
CSNK1A1,IFNAR1,-1
CSNK1A1,LEF1,-1
CSNK1A1,PHLPP1,-1
CSNK1A1,SMO,1
CSNK1A1,YWHAQ,-1
CSNK1D,GSK3B,1
CSNK1D,LEF1,-1
CSNK1D,parent_of_NR1D11,-1
CSNK1E,BID,1
CSNK1E,CDC25A,-1
CSNK1E,CTNNB1,-1
CSNK1E,CTNND1,1
CSNK1E,DVL2,1
CSNK1E,EIF4EBP1,-1
CSNK1E,LEF1,-1
CSNK1E,SMO,1
CSNK1E,YWHAQ,1
CSNK1E,parent_of_NR1D11,-1
CTBP1,ZEB2,1
CTNNB1,LEF1,1
CTNNB1,NR4A1,1
CTNND1,VAV2,1
CTSG,AGT,1
CTSG,F2RL1,-1
CTSG,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1_____GNAZ1,1
CTTNBP2,parent_of_ACTB1,1
CTTNBP2,parent_of_ACTN11,1
CTTNBP2NL,parent_of_ACTB1,1
CTTNBP2NL,parent_of_PPP2CA1_____PPP2CB1,1
CYSLTR2,GNAQ,1
CYTH2,ARF1,1
CYTH2,ARF6,1
DAB2IP,AR,-1
DAB2IP,CTNNB1,-1
DAB2IP,GSK3B,1
DAB2IP,KRAS,-1
DAB2IP,STAT3,-1
DAPK1,MARK2,1
DAPK1,TSC2,-1
DAPK1,parent_of_DVL31,1
DCC,MYO10,1
DCC,PTK2,1
DEF6,CDC42,1
DEF6,RAP1A,1
DEF6,parent_of_BRAF1,1
DKK1,LRP5,-1
DKK2,LRP5,-1
DKK4,LRP5,-1
DLC1,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,-1
DLG4,DLGAP1,1
DLG4,parent_of_HDAC21,1
DLGAP1,DLG4,1
DLGAP1,SHANK1,1
DLGAP1,parent_of_ACTN11,1
DLGAP1,parent_of_HDAC21,1
DOCK7,CDC42,1
DOCK7,RAC1,1
DPYSL2,parent_of_DNM11,1
DRD1,GNAI1,1
DRD1,GNAQ,1
DRD1,GNAS,1
DVL2,ARRB2,1
DVL3,RAC1,1
DVL3,parent_of_GSK3B-1,1
DYNLL2,parent_of_BECN11,-1
DYRK2,SIAH2,1
DYRK3,AKT1S1,-1
E2F2,MIR17HG,1
ECE1,EDN1,1
EDN1,EDNRA,1
EDN1,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
EDN2,EDNRA,1
EDN3,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
EDNRA,GNAI1,1
EDNRA,GNAQ,1
EDNRA,GNAS,1
EFNA2,EPHA2,1
EFNA3,EPHA2,1
EFNA5,EPHA2,1
EFR3A,KRAS,1
EGFR,ANXA1,1
EGFR,EPB41,1
EGFR,GRAP,1
EGFR,MAP2K1,1
EGFR,PTPN1,1
EGFR,STAT3,1
EGFR,VAV2,1
EGFR,parent_of_AKAP5-1_____CAMK2A1_____CAMK41_____CAMKK11_____CAMKK21_____DAPK11_____DRD2-1_____GEM1_____GRIN2A-1_____GRM7-1_____IQGAP11_____MYLK21_____NOS11_____NRAS-1_____PPP3CA1_____PPP3CB1_____PPP3CC1_____PPP3R11_____RAC11_____RASGRF11_____RIN11_____RIT21,-1
EGFR,parent_of_INSR-1,1
EGFR,parent_of_TRAF21,1
EGLN2,FOXO3,-1
EGLN3,ADRB2,1
EGLN3,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,1
EGR1,IGF2,1
EGR1,parent_of_PDGFRA1_____PDGFRB1,1
EIF2AK3,APAF1,-1
EIF4EBP1,parent_of_MTOR-1,-1
ENPEP,CCK,-1
EP300,KPNA2,1
EP300,RECQL4,-1
EP300,RUNX2,1
EP300,SMAD3,1
EP300,STAT3,1
EPB41,NUMA1,1
EPHA2,GRAP,1
EPHA4,parent_of_CDC421_____RHOA1,1
ETS1,GFI1,-1
EVI5,parent_of_FZR1-1,1
F10,F2,1
F11,parent_of_MET1,1
F2,F2RL1,1
F2,F2RL2,1
F2,F7,1
F2,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
F2,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1_____GNAZ1,1
F2RL1,GNAI1,1
F2RL1,GNAQ,1
F2RL1,GNAS,1
F2RL2,GNAI1,1
F7,F10,1
FADD,CASP8,1
FADD,RIPK1,1
