source,target,sign
C3,parent_of_CSK1,1
CALU,GGCX,-1
CAMK1,CDKN1B,1
CAMK1,CREB1,1
CAMK1,NUMB,-1
CAMK1,PPME1,-1
CAMK1,SYN1,-1
CAMK2B,CREB1,1
CAMK2B,CTNNB1,-1
CAMK2B,CYLD,1
CAMK2B,ETS1,-1
CAMK2B,GSK3A,-1
CAMK2G,EGFR,-1
CAMK2G,MAP3K7,1
CAMK2G,SYN1,1
CAPN1,ACTN1,-1
CAPN1,BCL2L1,-1
CAPN1,BID,1
CAPN1,GSK3B,1
CAPN1,PTPN6,-1
CAPN1,SRC,-1
CAPN1,parent_of_ACTB1,-1
CAPN2,BCL2L1,-1
CAPN2,BID,1
CAPN2,GSK3B,1
CAPN3,GSK3B,1
CAPRIN2,LRP6,1
CAPRIN2,OXT,1
CARD11,MALT1,1
CARD8,APAF1,-1
CARD8,CASP9,-1
CASP10,BID,1
CASP10,CASP3,1
CASP12,CASP9,1
CASP2,BID,1
CASP2,CASP8,1
CASP2,TRAF2,1
CASP2,parent_of_APAF11_____CASP91,1
CASP3,AKT1,-1
CASP3,BAD,1
CASP3,BCAR1,-1
CASP3,BCL2,-1
CASP3,BIRC6,-1
CASP3,BRCA1,-1
CASP3,CASP2,1
CASP3,CASP6,1
CASP3,CASP9,1
CASP3,CTNNB1,-1
CASP3,EIF2A,-1
CASP3,EIF4EBP1,-1
CASP3,GSN,-1
CASP3,IKBKB,-1
CASP3,ITGB4,-1
CASP3,NUMA1,-1
CASP3,PAK2,1
CASP3,PARP1,-1
CASP3,RB1,-1
CASP3,STK3,1
CASP3,STK4,1
CASP3,TP73,1
CASP3,parent_of_GABARAPL11,1
CASP6,CASP8,1
CASP6,HIPK2,1
CASP6,NUMA1,-1
CASP8,BID,1
CASP8,CASP3,1
CASP8,CASP6,1
CASP8,PAK2,1
CASP8,TP73,1
CASP8,parent_of_TRAF21,-1
CASP8AP2,CASP8,1
CASP9,CASP3,1
CASP9,CASP6,1
CASP9,LYN,-1
CAST,CAPN1,-1
CAST,CAPN2,-1
CAST,CAPN3,-1
CAV1,LRP6,1
CAV1,PDGFRA,1
CAV1,PPP2CA,-1
CBFB,RUNX1,1
CBL,CFLAR,-1
CBL,EGFR,1
CBL,LYN,-1
CBLB,EGFR,-1
CBLB,FYN,-1
CBLB,GRB2,-1
CBLB,LCK,-1
CBLB,NCK1,1
CBLB,SRC,-1
CBLC,LRIG1,-1
CCL16,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,1
CCL16,parent_of_GNAI11_____GNAI31,1
CCL2,MMP14,1
CCL2,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,1
CCL7,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,-1
CCND2,CDK4,1
CCND2,CDK6,1
CCND2,RB1,-1
CD22,SH2B1,1
CD28,CBLB,-1
CD28,GRB2,1
CD3E,NCK1,1
CD4,LCK,1
CD4,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,1
CD40,TRAF2,1
CDC25A,CDK4,1
CDH1,EGFR,1
CDH1,LRP6,1
CDH1,parent_of_CSK1,1
CDH1,parent_of_YAP1-1,1
CDK14,LRP6,1
CDK14,TAGLN2,-1
CDK4,BRCA1,-1
CDK4,FOXM1,1
CDK4,RASSF1,-1
CDK4,RB1,-1
CDK4,SMAD3,-1
CDK6,RB1,-1
CDK6,RUNX1,1
CDK8,E2F1,-1
CDK8,SMAD1,-1
CDK8,SMAD3,-1
CDK9,RB1,1
CDK9,RCHY1,-1
CDK9,SMAD1,-1
CDK9,SMAD3,-1
CDK9,TP53,1
CDKN1B,parent_of_CDK41_____CDK61,-1
CDKN2B,CDK4,-1
CDKN2C,CDK4,-1
CDON,ABL1,1
CEBPA,CSF3R,1
CEBPA,MPO,1
CEBPA,parent_of_JAK21,1
CEBPB,CREB1,1
CEBPB,FOXO1,1
CEBPB,STAT3,1
CEBPE,CEBPG,1
CEP76,PLK1,-1
CFH,C3,-1
CFH,CFI,1
CFHR1,C3,1
CFHR1,CFH,-1
CFI,C3,-1
CFLAR,CASP10,-1
CFLAR,CASP8,-1
CFLAR,FADD,-1
CLK1,ABL1,-1
CLK4,ABL1,-1
CLN8,PPP2CA,1
CLN8,SET,-1
CLU,IKBKB,-1
CMA1,EDN1,1
CNR1,GNA13,1
CNR1,GNB2,1
CNR1,parent_of_DVL11,1
COL1A1,ITGA5,1
COL1A1,ITGB1,1
COL1A1,parent_of_CSK1,1
COL1A2,parent_of_CSK1,1
COL2A1,parent_of_CSK1,1
COL5A1,parent_of_CSK1,1
COL5A2,parent_of_CSK1,1
COMP,parent_of_CSK1,1
COPS5,MYC,1
COPS5,NCOA1,1
COPS5,TYK2,1
COX5B,APAF1,1
CREB1,FST,1
CREB1,IL10,1
CREB1,IL2,1
CREB1,MIF,1
CREB1,MYC,1
CREB1,SMAD3,1
CREB1,SMAD6,1
CREB1,parent_of_ACTB1,1
CRKL,BCAR1,1
CRKL,GAB1,1
CRKL,MAP4K1,1
CRLF1,parent_of_JAK11,1
CSF1,CSF3R,1
CSF1,parent_of_JAK21,1
CSF3R,JAK1,1
CSF3R,JAK2,1
CSF3R,TYK2,1
CSK,FLT3,1
CSK,FYN,1
CSK,HCK,-1
CSK,IRS1,1
CSK,ITCH,-1
CSK,KIT,1
CSK,LCK,-1
CSK,LYN,-1
CSK,SRC,-1
CSMD1,C3,-1
CSMD1,SMAD3,1
CSNK1A1,BID,1
CSNK1A1,CARD11,-1
CSNK1A1,FADD,-1
CSNK1A1,FOXO3,-1
CSNK1A1,GSK3B,1
CSNK1A1,IFNAR1,-1
CSNK1A1,LRP6,1
CSNK1G2,SMAD3,-1
CTDSP1,SMAD3,1
CTDSP2,SMAD3,1
CTDSPL,RB1,1
CTDSPL,SMAD3,1
CTNNB1,FOXO3,1
CTNNB1,KLF4,1
CTNNB1,NR4A1,1
CTNNB1,SMAD7,1
